username,tweet,label
TaersayangV,harus sudah di vaksin,0
FessPonti,budak info vaksin dong,0
angkasapura172,malam sahabat penerbangan dari yogyakarta menuju bengkulu wajib menunjukkan sertifikat vaksin minimal dosis pertama dan hasil negatif tes swab pcr x24 jam sebelum keberangkatan sebagai persyaratan perjalanan serta mengisi e hac pada aplikasi peduli lindungi 1 2,0
hxnjxsvng,udah vaksin kedua,0
nuruldwiwahyu,kenapa jualan haram gue laris bnget yaaa skincare sama food gue yg beli cuman bbrpa orang ini vaksin bali seminggu bisa x pengiriman dari balinya,0
katzen_jammer,coba dan komnas kipi mungkin bisa jelaskan negara lain data kipi semua transparan bisa diakses publik hanya indonesia yg belum ditemukan atau semua pukul rata tidak ada keterkaitan dengan vaksin seperti kasus yg sudah mungkin,0
shfqzd,masuk masuk terus bejoget dgn pt antivax ni ett dislodge bp drop tachycardia hypoxic ermmm yang lain tu pegi la vaksin woii,0
marl86lan,jgn bg alang kompaun pada yg x cukup vaksin ni sbb kerajaan dh bg kelonggaran mereka sesuka je buat hal sendiri bukan nk mengata lebih tp hak pun fikirkan kepada semua pihak,0
henryyugo_,efek vaksin kedua lumayan brutal,0
_Banyoe,selama masih ada ppkm berjilid jilid klaster klasteran gelombang kenaikan kasus bodong masker tes antigen dan pcr syarat aktivitas wajib keberadaan vaksin cm formalitas plandemi tak berfungsi serta membawa dampak buruk kesehatan di masa mendatang,1
pengenyuta,keselll bangett ama rinoo w abis vaksin di geplakk mnytt mana lagi sakit nyaa,0
jogmfs,jog tempat wisata di jogja tu skrng klo mau masuk kesana harus vaksin kalo iya mana aja yg harus vaksin,0
cryscrn,bayar bbrp parkir vaksin yg sbnrnya cuma nanya bisa apa ga hahahah,0
DPRTlYAN,dengerin kata abang ganteng vaksin lu semua,0
TangselTerbaru,asyik vaksin gratis berhadiah emas daftar di sini,1
gadisresidu_b3,kapan jemaah indonesia bisa mengikuti ibadah umrah apakah harus menggunakan vaksin booster berapa perkiraan biayanya berikut beberapa hal yang perlu anda ketahui,0
LaiLa_cyin,aku besok mau vaksin jadi aku mau tidur dulu bye,0
minyeongs,customer tak vaksin pun berlambak tapi ada la sorang dua terlepas masuk hm hahahahah,0
moncheirry,day sapi wagyu pakan periode panda pakan periode vaksin alaskan tundra pakan periode ed,0
beompunzel,abis vaksin tuh emang rawan demot apa guenya aja,1
KokoUshiko,nimvrungs kalau di koko ngaruh banget wkwk dua minggu pertama orijen lgsg melesat huahaha lgsg kontrol bgt ngasihnya timbangan awal pas baru bgt full orijen sebelumnya masih transisi df lama dan abis proses recovering dr sakit vaksin pertama around weeks later,0
bsilviari,kurang tauu klo kuota nya berapa cuman ya duduknya di pisah kursi gituu gaboleh sebelahan iya harus udah vaksin ntar masuk mall bioskop scan barcode di app pedulilindungi,0
danihoodie95,besok vaksin,0
__Sridiana_3va,kok satu sudah belum boleh juga sekolah apa itu paham nda dia guna vaksin,0
anewxuxi,vaksin kebrp,0
Pyororocityx,klean yang habis vaksin ada efeknya gak sih,0
yourspidermark,yeay besok vaksin kedua,0
jaeminnbanten,aku kuat udh vaksin,0
KUNHCNEY,gamau ngeluh tpi badan w abis vaksin knp sakit2 smua anjer,0
withlove_sanhwa,lusa gw vaksin sksksksk akhirnya setelah sambat bulan,0
atenqylah,semoga baik baik je balik klate nanti sape tak vaksin jangan pegang anak i ingat nak g jale jale kb tp ramai ore tak vaksin i is riso,0
Hi_Kannika,besok pagi gw akhirnya mau vaksin az dosis mundur bulan akibat kena cvd disaat seharusnya vaksin ke 2 ya allah semoga gak drama demam sm muntah2 ky dosis ya gw dah siapin pct ibuprofen biar lgsg glek abis suntik jdwl gw padet gak ada waktu buat sakit,0
AlifIkhfan,dekat tempat saya ada yang tak vaksin lagi satu family tak vaksin,0
stitching_away,mau dan daripada ntar disuruh vaksin nusantara,1
cheesetiramisyu,dah yuk tidur besok vaksin,0
ltybiai,jam taeyong vaksin kedua,1
KhairyZayn,jgn pelik golongan bangsawan pun ramai yg antivak setakat cert vaksin tu dia boleh kautim je kalau kantoi kabel rapat poket penuh pulak benda boleh setel sebelah mata je hmm,1
dummycen,telat mens efek dari vaksin ga sihh sodaraku juga soalnya,1
syikiNora,tk perlu risau kt assessment tuu boleh bgthu masalah allergy apa semuanyaa ada tertera kt situ masa sy vaksin tu org ppv tnya ada allergy mknan ubat ke apa semua dia akan tanya so kita pun kena laa jujur bgthu apa mslh allergy kita,0
___jjjanumoon,kabel bioskop di malang kuotanya boleh brp orangg trus kalo mo masuk harus udah vaksin kaah,0
snurfwhoops,lanjut besok revisi takut banget badan udah gak enak ditambah besok mau vaksin huhu,0
whodaurora,bila boleh rentas negeri ni memang rasa berbaloi la pulun vaksin dulu penat macam apa hadap ramai gila orang rehat sampai berganti bukan rehat sama2 good job dearself and others dr dr matron2 para vaksinator semua volunteer la we did it,0
exo_sambat,besok aku daftar vaksin kalo dapet slot bakal langsung di vaksin ya allah aku deg2an huwee,0
Aduri_00,antivaksin beli kad vaksin kat klinik swasta,1
GojekMilangKori,orang kota dan urban agar mau vaksin masuk mall dan tempat rekreasi harus menunjukkan sertifikat vaksinorang desa dan pelosok mau vaksin bisa dapat paket sembako,1
saragiadaa,dahlaa dengerin kalian speak speak only cape juga ya abis vaksin,0
Pegallinu96,bener gak beritanya org indo terbang keluar negri di persulit persyaratan nya pcr gk ada guna kartu vaksin pun tak berkutik,1
gwscat,pantes vaksin ternyata,0
BennyKeef,ngarasa kuat lantaran udah divaksinasi padahal vaksin nu aya adalah vaksin darurat bukan vaksin yg sebenernya ditambah pamarentah bilang soal herd immunity padahal hi blm akan tercapai dlm waktu dekat,0
0813Ara,besok gue mau vaksin aksnakanjaka agak deg degan,0
Irfan_Boloxx,rentas negeri nak vaksin taknak wkwkwkw,0
loliiipoppp_,efek samping vaksin versiku adalah jadi gampang mewek dan stress,1
fullsunflwrsss,btw mau nanya kalo lagi flu ngga boleh vaksin ya,0
DPRTlYAN,agree with you tp gmn kl ada yang gk mau vaksin karena takut ada chip wkwkwk aapa tanggapan lu,1
xjkkth,besok vaksin dosis shaskhak lea semangat ya semoga ngga sakit lagi hehe,0
iamshahshariff,presiden ke tak presiden ke tak vaksin tak boleh layan bola kat stadium steady,0
hyeiseong,astra ya kalo itu emang lama nder bulanan sih kalau jarak vaksin papaku sm mamaku,0
SusilaRahayu4,awali hari hari demam setelah vaksin,0
soundsofje,gue kemarin az jarak vaksin sama nya hampir bulan,0
chenleleo,gais aku abis vaksin jadi bawaannya ngantuk terus gatau knp buat au blom bisa update skrng yaa maaf,0
exomalaysia_,thailand bakal sambut pelawat lengkap vaksin dari negara risiko rendah mulai nov,0
xxxjeurleys,besok harus ke tempat vaksin jam pagi pagi banget,0
arynasyuk,tenkiu sebab skolah anti vaksin penat becakap dgn org yg pentingkan diri sendiri ni,0
einleviz,beda2 tiao jenis vaksin sinovac jaraknya sebulan az bulan,0
itstiwaay,aku sukarela vaksin tp mak ku kekeh percaya hoax krna oom ku jd penyebar nya vaksin diam2 hbis vaksin ku buktiin klo aku ga knp2 eh tapi oom ku tau klo dirumah ada yg vaksin krna ini anw yg sama itu mirip dgn no sertifikat vaksin aku dgn kakak agak ngakak bingung,0
jiminheroin,homies checkinudh pd vaksin blom,0
brigade885,saya vaksin gotong royong sinopharm dh dosis tp sertifikat blm dpt dh usaha tlp ke tuk confirmasi ke faskes dr pihak faskes di anjurkan hubungi bio farma dr bio di anjurkan ke faskes lgi,0
ssefnum,rl guys jarak dari vaksin ke emang selama itu kah aku vaksin pertama agustus yg kedua bulan ini tgl btw aku kebagian vaksin az,0
lvlytans,ga tuh dha kaya antri vaksin,0
sewaka09,vaksin lurr aje klalen di catet tanggale,0
mrhrpp,td siang dbangunin buat vaksin d gedung pdhl hari sblmnya nnyk di gedung jd ada vaksin tp uwk jwb loh emg kapan trs pas k lina mau dftrin uda abis krn kesiangn bahkan lurahny smpe heran org jaga pos dpn aja bnyk masuk pake nama gedung kok anakny bisanya ga dtgngeselin x si,0
PatiDemokrat,aksi nyata yang memberikan vaksin untuk warga kalimantan timur pd solid bareng ahy e,0
Shaafaz,covid tak mengenal siapa rezeki dia tak diuji dengan ujian covid tapi you diuji amp mampu fight covid sebab dah vaksin alhamdullilah,0
nctaeyonng,bye hahaha jangan oleng mau tidur besok vaksin mwhehehe,0
FirmRei,serbuan vaksin maritim pangkalan tni al aru percepat herd immunity masyarakataru,0
YogaPras_,vaksinasi terus digencarkanvaksinasi adalah game changer kata pak disaat negara lain berlomba cari vaksin kita sudah tersedia untuk vaksin,0
cigarettekayz,kenapa si vaksin keduanya harus di berbarengan dengan anak cowo er,0
fennyleeyongxxx,maju lo nct gue gak takut gue udah vaksin anti mleyot,1
littleputna,alhamdulillah semoga semua bisa segera vaksin dan indonesia bisa bangkit lagi,0
Petriklagi,peluk mas le sudah di vaksin,0
gusamguo,jam setelah vaksin sensi bgt gak bisa kena senggol,1
MelanGirsang_,mana temen kantor hari yang lalu pada ngeluh agak ga enak badan lagi walau udh vaksin kek masi rada2 parno sih,0
DharWid,salah suntik vaksin ya bisa jadi kali yaa,1
heeyk0okie,deg degan besok gue vaksin,0
merahmudaplusy,ayah gue dah ga perlu vaksin dah kebal,1
PatiDemokrat,anggota dpr ri fraksi demokrat memberikan vaksin amp paket sembako untuk warga kota payakumbuh sumatera barat pd solid bareng ahy e,1
sangkurboyz,kanggo mbak mbak e sg kos e melbu gang kidul e taman merjo ngarep kontrakan ku pas smean iku terusno dewe tak turu sesok vaksin soale,0
icamalya,woww sekali tapi kenapa di sini masih banyak yang ga mau datang ke tempat vaksin ya,0
dinnah_,berliur suka tempat gelap agresif gejala rabies sender segera vaksin rabies ya pertolongan pertama kegigit ialah langsung cuci dengan sabun saponikasi proses terjadi gelembung sabun berfungsi melekatkan virus rabies agar minim masuk ke darah perih tp patut dicoba,1
lankahtegapmaju,aku pribadi krn pengen aja sih aku g terlalu peduli apa lg percaya sm berita hoax tetang vaksin,0
ceyefun,habis di vaksin setelah sekian lama kak awowkowkwowowk,0
manishafarhana,takpo mar lps vaksin kito kelik,0
capebangetgasi,hai gaes aku udah vaksin jadi siapa yang mau ajak ke mall,0
vexvoyez_,besok vaksin kedua,0
Buunaa_,padahal gw besok mau vaksin to sekarang malah gatidur2 dong,0
p_really_,abis vaksin ke2 pegelnyaaaaaaa,0
IkhwanZainul,ada sorang tu claim antivaksin ni group mahdi yang vaksin ni group dajjal wow,1
stevanuswibii,pas mulai kerja magang kost pertama ga ada kursi jadi dari kasur ke meja samping kost kedua ada meja belajar sama kursi plastik yg ada senderan kayak kursi buat nunggu antrian vaksin sempet tinggal di apartemen tante pakenya meja rias,0
SabihahRezali,bila murid pun dah vaksin baru cikgu rasa selamat nak ke sekolah,0
7474L4HN3GRIKU,harusnya ada yg ke tni wajib nembak pengkhianat bangsa jongos2 asing terutama aseng sayang nya yg ke10 tni wajib vaksin,1
melfeyadin,dan sekarang saya sedang meringis2 krn efek vaksin ga bisa bobo miring kiri tangan pegee,0
bymutt,harus nntn fiks udh vaksin ke 2,0
dannseugf,strong man pun tak dapat kalahkan effect vaksin takpe amiklah energy saya chiwoo,0
BindaBing,kenapa hey kenapa aplikasi kai access sama pedulilindungi saya gak sinkron tiap beli tiket terpampang nyata tulisan saya belum vaksin padahal uda dosis ketiga lo,0
wuhanclan6,imo tdk ada kontribusi vaksin sama sekali sih kalau utk case jkt wkt peak juli agustus datanya meninggal yg udh double vax 80 90 sinovac sinopharm virus dimatikan sm mirip sinovac data dari bahrain efektfitas rendah mengurangi resiko kematian,0
deemohds,padan muka duduk jela mereput kat rumah tu takyah kemana mana sapa suruh taknak vaksin benda free pun taknak ambik,0
diodaffaee,vaksin d2 cuman antigen kalo d1 harus pcr,0
choihanie,aduh minggu ini bakal sbux bgt sambil pelayanan sambil ngezoom sampe hari sabtu pagi nyiapin vaksin juga,0
Kohun21,jadi ini tujuan selama ini menyangkal semua kejadian buruk karena vaksin kopit amerika inggris dan semua negara lain masih punya database korban vaksin kopit berarti mereka kalah dari indonesia soal meminimalisir data kalah sedeng,1
detikHealth,banyak penelitian menunjukkan apabila pasien mengalami infeksi yang sangat ringan atau tanpa gejala maka kemungkinan akan membentuk tingkat antibodi rendah,0
kursipijat,berapa lama vaksin campak bertahan setelah dibuka,0
syahi_rh,tapi belum lega selagi vaksin tu tak masuk dalam badan aku,0
ParstodayIRIB,sejak penyebaran virus corona hingga sekarang dosis vaksin covid 19 telah disuntikkan ke warga di provinsi fars republik islam iran,1
zrvlaynaffit,kemarin efek vaksin demam skrg udah ga demam tapi kepala gw pusing sebelah dan nyeri dipunggung gak ilang2 ngapasieeeeeeeee,0
lleejnjm,oh w besok vaksin,0
syugarsuga_,wawww aku dah ada tiket vaksin ketigaa mau deh moderna,0
ketawainwkwk,sertifikat vaksin kan ada,0
bluedemonsh,udah dong besok mau vaksin ke dua di ncus ncus,0
skiyoomine,besok vaksin anjir mls jauh bgt tempatnya,0
patientgwurl,h 4 vaksin knp sakit pinggang tambah parah ya,0
vrsmookies,pdhl gua vaksin bsk tp efeknya udah dr skrg,0
KAI121,selamat malam hingga saat ini calon penumpang ka jarak jauh wajib menunjukkan surat keterangan hasil negatif rt pcr atau rapid test antigen yang masih berlaku kemudian calon penumpang juga wajib menunjukkan kartu sertifikat vaksin minimal dosis pertama 1,0
jaehyungemes,met bobo azuraaa jangan lupa sarapan besok pagi sebelum vaksin,0
ketawainwkwk,gk sabar vaksin kedua hri sabtu nanti pengen pegel tangan biar gk disuruh suruh,0
titissyurina,omggg besok vaksin,0
gezasurya,agak syok tau harga imunisasi anak di dsa imunisasi yg ga bikin demam k yg bikin demam k hehe kalo dikasih pilihan kaya gini mau milih pertimbangan dg prinsip efisien kaya ga tega sm anak walopun sebenernya jg banyak pilihan lain untuk vaksin di puskesmas bidan dll,0
Xcanosi,vaksin nya besok deg an nya sekarang,0
nad_Schokolade,woe dah la demam lepas tu nanti next days cucuk vaksin that surely demam energy im okie in silence,0
501Awani,ia sebagai usaha untuk menghidupkan kembali industri pelancongan di negara itu,0
aishahmajlan,kawan sekolah nisya pun ada yang takmaw vaksin memang dari kecik mak ayah takbagi vaksin seram dengaq sakit pun makan ubat ubat gitu ja ubat ubat tu macam minum susu kambing susu kurma adoiii sakit kepala aku dengaq,0
wahyuanggoro,saya juga mengalami hal yg sama coba email saja ke sertifikat id ceritakan permasalahannya nanti diminta isi data diri dan batch vaksin nya mungkin perlu sedikit bersabar utk ditindaklanjuti krn mgkn bnyak kluhan yg sama mudah2n bisa membantu,0
abatashaa,keasikan nonton badminton lupa kalo besok mau vaksin,0
_azanti,gak vaksin gak keren lu kira vaksin buat keren kerenan doang bsa pamer kartu vaksin gtu lama lama gedeg jg ama bidan desa,0
nouvemish,habis vaksin lebay bgt tubuh sumpah,0
Humastrobkskota,giat vaksinasi merdeka untuk masyarakat yang belum divaksin maupun yang akan divaksin kedua pelaksanaan vaksin merdeka di wilayah kelurahan kec jatiasih kegiatan vaksinasi merdeka dipimpin langsung kapolsek jatiasih kompol abriansyah harahap s h s i k m h,1
strwbrrylattx,dah waktunya tdur bsok mau vaksin good night moots,0
mmarklee03,yah besok gu mau vaksin jadi hari ini absen bergadang dulu,0
aishahmajlan,muhammad zaki ajak balik kedah hujung minggu nie kak teruih baca data negeri kedah peratus dewasa vaksin rendah yang rendah nie sebab pemberian vaksin slow ka atau ramai yang takmaw vaksin,0
Polsek_sebaya,gerai vaksin presisi lampung tengah,0
KemenkesRI,pemerintah juga terus mengupayakan ketersediaan vaksin baik lewat skema multilateral maupun bilateral demi mencukupi stok yang ada saat ini dan menjaga laju vaksinasi sesuai dengan stok vaksin yang ada,0
mieeeysf,kompaun mahal sikit penat aku hadap kali lenguh tangan hari lepas vaksin kau sedap je rentas free free eh,0
qdechi,untung vaksin ga jd besok,0
PatiDemokrat,difasilitasi anggota komisi ix lmp sulsel gelar vaksin covid 19 pd solid bareng ahy,0
Rwenjyund,masalahnya kaka ak kasih taunya ke ceesbe kudu pake kartu vaksin jadi watirrr,0
kompascom,sebuah laporan ungkap agen mata mata rusia diduga mencuri formula vaksin covid 19 oxford astrazeneca untuk digunakan pada suntikan sputnik v,0
ptriagggnprtw,abis vaksin dapet seminggu langsung drop kalian gitu juga gasi,0
mantanseminaris,sabar ga lama lagi kelar lu ajak gih warga buat vaksin,1
riantirhian_t,yeess macam vaksin dahakupun sering icipin kue orang lain krna mrka yg pgn ngsih tau rasanya tp klo enggak kdg akupun males jd makan kue sndiri deh jadi laper ngmgin kue,0
WifeMarcMarquez,lah aq yg cucuk dulu pun tk de la sakit mne pun tpi aq terlebih hyper mcm mne tu org lepas vaksin rehat aq lepas dpt first vaksin tu aq gi angkat baldi air untuk it pokok bunga mk aq,0
klewpon,vaksin lagi biar tambah kebal,1
wethefears,masih kaga boleh pokoknya ga bisa vaksin belum vaksin selain karena penyakit ga boleh,1
gfmingyusvt,besok vaksin kedua tapi udh di buat lemes sama photo op mereka,0
voidotid,dana ini didistribusikan melalui kementerian kesehatan kemenkes dan di luar dari pengadaan vaksin covid 19,0
stardeuq,ok ayo semangat vaksin jgn lupa makan dlu,0
fransiscanadia_,tunggu aku di vaksin dulu ya,0
injuncityx,ga isa lama mo bobok besok vaksin gt,0
ari_idr,iya kmren diceritain bapak2 kalau ada org yang mau kerja di kapal pesiar gagal krna dari pihak kapal pesiarnya hanya meloloskan org yg vaksin astra z sedangkn org yg daftar udh x dosis sinovac,1
yeoreumbit_,andai vaksin bisa diminum,1
usselesx,gak cocok vaksin ancen,1
chapiena,ingat dah ambik vaksin tu kebal dah la tu amboi biasaaaaaaaaa dia tu,1
bucinmangofloat,wkwk gatau tapi ya menurutku gapapa sih atleast kita bisa dapet vaksin dari pada ga sama sekali,0
djonghours,gaoaoa ak udh kebal sprti yg sdah di vaksin,1
