User,Text,label
axamexo,terus kalo misalkan mau ke luar negeri tapi udah di vaksin sinovac berarti vaksin lagi dong yang varian lain,0
convomf,emg kalo yg kemaren vaksin sinovac nanti bakal ada suntik booster moderna ya,0
5hortc4ke,emg ada beberapa negara yg ga ngizinin sinovac,0
mangomatch,gue mau sinovac atau astra pun juga gak keluar negeri sih yang penting udah vaksin alhamdulillah aja,0
dyah_sulistya,saya teh fid telat bulan habis vaksin sinovac waktu vaksin gak telat,0
bon_2x1,kalo jepang iya harus astra ama apa gitusinovac ga dibolehinkalo selain jepang aku g tau,0
hawaiisunkissed,setahuku memang dibeberapa negara luar ngga pakai vaksin sinovac cuman beda dilama karantina aja misa,0
mas_an2,wes ra sah kakean cangkem aku kiasline ultramen tapi bar vaksin sinovackekuatanku dadi ilang,0
bblueberriy,eh ini seriusan syukurlah mama dah pasrah gagal umroh karna dah terlanjur sinovac,0
thisisillegurl,w yang nya sinovac hanya bs tersenyum,0
avoocadtoast,mau ngurus kewarganegaraan tapi vaksin gue sinovac terhalang kasta vaksin,0
haniiyya,mungkin yg dapet sinovac pas awal awal vaksin jd belum bisa milih klo saat ini udh bnyak macamnya,0
yimaaaaaaa,sinovac boleh asal pake booster ya ga si soalnya kakak aku sinovac terus mau nganter rombongan umroh harus divaksin booster,0
jjkslof,klo mau umroh haji setauku klo sinovac harus dosis cmiiw,0
Chika0699,efek sinovac bikin laper,0
faircyj,ya karena sinovac dah ga digunain lagi di beberapa negara akibatnya ditolak gt ntar,0
faridzdzdz,kalo ke amerika gabisa pake vaksin sinovac ya,0
jemcotton_,okay serious question i saw that kalau nak pergi umrah either ppl injected with pfizer and az je yang lepas kalau,0
yusuprhmn,tadi tuh suntikan diisi sinovac atau diisi scott emulsion ya kok malah lapar mulu,0
guntxrmdp,australia ngga nerima sinovac kayaknya,0
clalareine,yang penting pak jokowi juga sinovac,0
doinyacrush,emang knpa kok sinovac gabisa ke luar negeri,0
dthido26,boleh ga nih gw udh vaksin sinovac tapi vaksin lagi buat yang varian lain like moderna pfizer dkk,0
vindhietama,gw cukup sinovac ajasoalnya manut daerah jogja banyaknya apa aja,0
almauliay,tetanggaku bisa loh ke amrik dia sinovac tp dia emg pertukaran pelajar sih mungkin ada pengecualian,0
vindhietama,efeknya keras pfizer sama moderna nah kalau yg sinovac mau ke keluar negeri gimana ya booster tambaha,0
WindaAp57133888,sebagian negara gk mau terima kalo vaksin nya sinovac kalo mau pergi haji umrah juga gk bisa kalo vaksin nya sinovac,0
kanalauv,kalo kata pak hafan mah tadi bukan masalah mana yg lebih baik cuma emang komponen vaksinnya aja yg beda kalo sino,0
lalavivienrose,ini gak sepenuhnya bener ya beritanya gak semua negara mewajibkan orang buat vaksin dulu orang indo b,0
notelrisa,ada beberapa yg ga nerima sinovac nder,0
SahitaFathur,sinovac yang murahan nder astra itu efektivitas vaksinnya lebih tinggi,0
selalujae,iya sinovac itu ngak di terima di luar soalnya dulu tuh ada yg sinovac gadungan tapi beberapa negara ada yg bolehin kok,0
bngmstkw,nah itu ngeliat katanya jepang ga ada sinovac jadi kek terus ni vaksin gimana,0
tybelleame,bisa sinovac buat abroad tp harus kali cmiiw,0
_stfdhl,katanya gitu nder klo selain sinovac boleh katanya tp tiap negara punya aturan masing2,0
xniaaw,beberapa negara ngebolehin kok kalo negara yg dituju ngga boleh sinovac biasanya dibooster lagi pake astra pfizer moderna,0
Askrlfess,askrl ke korea sama jepang udah boleh pake v ksin sinovac blm ya menurut kalian kebijakan merema bakal berubah ga,0
SyahrulAM13,iya katanya mah gakepake sinovac kalo diluar negri kalo mau keluar negri paling vaksinnya astra,0
peachyEaj,iyaaa setau ku sinovac tidak di akui di luar negri wkkwwkwk jdi hrus booster lgi,0
haze_rays,kalau mau keluar negeri emang gak cukup klo sinovac doang vyr pake booster moderna atau yg lain aja,0
thissjunky,coronavac itu nama riset nya kl sinovac itu produsen pengembangan nya gitu cmiiw,0
tr0uavaille,lah emang kalo vaksinnya jenis sinovac ngga bisa ke luar negeri,0
halosungjin,ga semua negara tapi kebanyakan ga nerima sinovac,0
aneupyo,beberapa negara ga mengakui sinovac jd kalo mau ke ln besok vaksin ke3 booster moderna,0
KancilPutih11,kesian sinovac,0
TehManisPanas4,tahun lalu mereka nyinyir mengenai kehalalan vaksin sinovac sehingga mereka menolak divaksin tetapi tahun ini mere,0
HumasPolsekKed4,polsek kedungwaringin dan pkm kedungwaringin berikan layanan vaksinasi dosis dan vaksin jenis sinovac di aula d,0
FMasriati,mau moderna mau pfizer mau sinovac yg terbaik adalah vaksin yg tersedia dan yg tercepat diakses,0
polresdemk,ayo ikut vaksin merdeka candi polres demak vaksin dosis amp 2 sinovac setiap malam minggu mulai pukul,0
kel_pejuang,halo warga kelurahan pejuang hari ini kembali diselenggarakan gebyar vaksin massal sinovac astrazeneca amp pfizer,0
aurum3as,iya astra sama moderna yg agak keras klo temenku yg dpt sinovac sinopharm yg kerasa paling ngantuk laper capek,0
UMonline,tambah khairy banyak negara islam menggunakan sinovac seperti indonesia pakistan dan turki dan oleh itu penting,0
NunutUswatun,alhamdulillaah gadisku karena mo terbang divaksin sinovac msh dpt haid,0
HBaturiti,ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari senin tanggal oktober jam,0
BorneoSMR,ayo vaksin kelompok suporter republic orange pusamania mengelar vaksinasi massal di areal parkir stadion segiri,0
karimatafm1033,vaksinasi covid 19 makin digenjot stok sinovac di sumenep menipis fit,0
PSelemadeg,ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari senin tanggal oktober jam,0
PolsekPupuan,ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari senin tanggal oktober jam,0
Kotabekasinews,kata siapa vaksin covid belum diuji,0
CNNIndonesia,pemerintah arab saudi mewajibkan jamaah umrah asal ri yang divaksin menggunakan sinovac untuk vaksinasi booster ap,0
HamzahF26388518,salam bertanya yb mohon penjelasan arab saudi tak terima vaksin sinovac utk umrah bila bol,0
Sundafess_,punten mau nanya hari ini atau besok ada yang di daerahnya ngadain vaksin sinovac ga mau vaksin kedua mumpung libur,0
Polsekwangon21,monitoring pelaksanaan vaksinasi astrazaneca dan sinovac di pkm wangon,0
bekokjin,sinovac vaksin ke dua ready kak,0
niksunpcrn,tetep harus sinovac nder bilang ke petugasnya,0
bubblyna_,aku sinovac tp udah mens sih kmrn abis vaksin mungkin agak telatan dikit gitu,0
nisakdisini,di aku sinovac amp 2 ga berasa samsek,0
felixfairydust,mjb heheh tapi aku vaksin pertama pake astrazeneca langsung demam seharian katanya tergolong kuat,0
ftdxxn,emng nya knp kalo vaksin nya sinovac,0
hyuckcarirejeki,selamat pagi pak bu izin bertanya apakah ada jadwal vaksin dosis sinovac pak bu dan kalau say,0
DesaTulusbesar,info vaksin dibuka pendaftaran ulang vaksin dosis sinovac dengan kuota orang khusus warga yang vaksin di,0
yourjoxxy,aku pake sinovac krn baru sku vaksin di sekolah dan yg pake astrazeneca cuma yg udh tahun doang,0
exeuthanasia,di aku ga ada efeknya sih kalo sinovac cuma emg agak pegel aja pas besoknya xixi,0
RidhaRf,vaksin prtama cepet petugasnya bnyak giliran vksin kedua yaallah antrian sinovac pfizer sm moderna digabung,0
anmbrh2,aku dosis sinovac kok ga kerasa ya hehe,0
vinxki,saya sudah divaksin astrazaneca tadi pagi mulai sekarang saya tida mau main sama yang belum vaksin tapi kalo sudah,0
UINSK,info vaksinasi dosis sinovac kolaborasi polri dengan satgas covid 19 uin sunan kalijaga selengkapnya di,0
Humaspolrespas1,giat vaksinasi yang dilaksanakan oleh tim gerai vaksin presisi polres pasangkayu pada hari sabtu tanggal oktober,0
polsekkdrkota2,bktm setonopande aiptu syaifudin yuri di kantor cabang pegadaian jl patimura no 144 kelurahan setonopande kota k,0
PKCTamansari,vaksin malamjl krajinan raya samping mushola peninggalan abad al mahbup kel keagungansinovac dosis amp 219 00 s,0
PKCTamansari,sinovac dosis dan kantor rw maphar masyarakat umum gt 12 th 200 orang 2 kantor rw tamansari masyara,0
ThisHerlambang,min hari ini ada jadwal vaksin sinovac dimana ya buat kecamatan bogor selatan,0
eogiocha,aku vaksin sinovac akhir juni lalu sempat positif dg gejala ringan dinyatakan sembuh juli vaksin,0
nayyoraa,sinovac klo bekas suntik sama tangan sama sekali gak ada efek,0
"ddiwaiyaa	ak kemaren sinovac jdnya ngga knp2 siii kakk		",,0
karinajakpus,dapetnya sinovac,0
Sinovac_pick,semoga slamat smpe tjuan wak,0
Sinovac_pick,semoga da rezeki,0
beutydion,nya gue sinovac,0
Cerita_Parapuan,jadwal vaksinasi sinovac dan astrazeneca di jakarta sabtu oktober,0
zackyrvai,hai temen2 terimakasih respon pengalaman vaksinnya untuk tweetku sebelumnya btw udah jam dr aku vaksin dgn kond,0
erinfd,aku juga gtu habis vaksin sinovac dah bulan ga mens,0
DonAdam68,catet auditorium academic amp researchuin raden intan lampungvaksin astrazenecausia thn ke atasconvention h,0
waterbbeom,enggak teh aku x vaksin sinovac mensnya lancar seperti biasa gak telat sama sekali coba teh tanyak,0
sukamainkehutan,aku vaksin sinovac dosis ke ditanggal agust malah mens dri tanggal agust sampai sept,0
vrelvv,kenapa baru ada vaksin astra sekarang gue udah vaksin sinovac seminggu yang lalu,0
gampangmigrain,dia ga pernah kena covid dia udh vaksin sinovac,0
ujuyuju_,sinovac anj bgt dah masa iya w kena koronce kali setelah vaksin kek paan njir padahal w dirumah aja demiallah,0
polsekkuta,gerai vaksin polri ayoo sobat polri yang belum vaksin atau yang vaksin ke silahkan hadir di gedung rs murn,0
eventsurabaya,halo gais yukkk dengan mendukung program pemerintah pkb mengadakan vaksinasi sinovac dosis dan dengan kuota,0
penkopassus,grup kopassus terus gelar serbuan vaksinasi kepada masyarakat umum dosis 2 sinovac di sendangsari bantul jumat,0
"wilofyou	dikira vaksin pertama dapetnya astra setelah bulan lebih minggu mau vaksin kedua ternyata vaksin pertama sinova		",,0
zazillahf,katanya sinovac cek sertifikat kok ternyata pfizer,0
maudinadah,waduh kenapa ga mau pake sinovac aja yg gaada efek samping nya dampingin jangan sendiri kalo bisa ber,0
SafiraPuspaning,blman nih kayanya ntar nyari sinovac aja deh soalnya gue udh ada antibodi alami juga dr virus corona,0
nsdifa_,alhamdulillah haid ku masih lancar teh kmrn habis vaksin sinovac cuma demam aja teh,0
rifka_seftiani,kalau pfizer dan moderna zat aktifnya ya mrna kalau sinovac zat aktifnya yah in activated virus covid kalau astra,0
KardusIndomie8,aku tidur jam bangun jam buat vaksin sinovac masih okelah dibadan tapi aku saranin mending tidur dulu jangan begadang,0
tinkywinkies_,aku vaksin sinovac dosis kedua pas disuntik kerasa lebih nyeri dari dosis pertama sih nder terus lebih gampang ngantuk,0
0902Trd,kodim berau melalui koramil 05 sambaliung lakukan vaksinasi dosis dua vaksin sinovac,0
sherere_sw,mana ada sinovac juga keluar kota mah masi bisaa,0
shaewonu,gak sakit klau sinovac tapi kamu harus makan minum c1000 dan gak bergadang,0
EnyLove_1,yaa kan modernaaku juga klo selain sinovac ga perlu di booster,0
baramafa,ni kira kira by the end of october ada stok az gak ya di puskesmas kek yang di highlight kalo gak sinovac sama pfi,0
eventsurabaya,halo gais yukkk dengan mendukung program pemerintah pkb mengadakan vaksinasi sinovac dosis dan dengan kuota,0
namjohnnyy,aku udh kali vaksin pake sinovac alhamdulillah gaada efek apa teh apalagi telat mens mungkin tiap org beda beda kali ya,0
hadifianwidjaja,saya dari awal pilih sinovac tentunyahhhh karena saya lebih yakin dengan metode in activated whole virus,0
EnyLove_1,info dong bagaimana cara nya dapat vaksin booster selain sinovac aq bukan nakes syarat masuk ke negara sa,0
PakdeSodik,ude paksin komplit sinovac astra ffizer moderna sinopharm teman dari malaysia datang bole kumpul,0
bdngfess,euy info vaksin sinovac dund,0
txtadit,belum dosis kedua nih kalo pake az lumayan jangkanya tp kalo sinovac ayah saya biasa aja cm lebih sedikit,0
Lantari7,komando distrik militer sleman bekerjasama dengan aparat terkait dan stakeholder kembali melaksanakan serbuan,0
sherlynzlee,kayaknya tergantung merk vksinnyakalau moderna sama az mah siap siap paracetamol sama obat anti muntah pfizer,0
"tempodotco	rshs bandung riset internal proteksi antibodi dari vaksin sinovac hasilnya		",,0
sambatankukabeh,boleh kok sinovac,0
laabilla_,agak nyesel kenapa waktu vaksin pertama kali malah milih sinovac,0
bayiicumi,bolehh kata dr anastesiku kalo udh sinovac x yang ke harus pfizer moderna,0
prettysashimi,jadii kalo aku sinovac pertama keduanya boleh gitu moderna misalkan,0
sapsuper,besok polsek kediri kota vaksin amp jenis sinovac lak mau vaksin vaksin hrs sinovac,0
badutmekdonald,ada ga yg vaksin langsung moderna ga sinovac dulu,0
ShilaNatasha22,baru plan nk travel jauh sikit next year tp lupa team sinovac hahaha takpelaa kita pusing2 dekat2 jelah,0
onenonly57,tapi mr saya penerima sinovac yang tak dianggap vaccinated oleh uk,0
tanciukian,biasakan membaca keterangan di foto info vaksin sabtu oktober jam 00 s d 00 wibsilakan datang ke,0
saoriisaostiram,aku udh vaksin x sinovac alhamdulillah lancar2 aja mens,0
minbisadong,aku sinovac juga nder udh kelar dosis tp gada kek gitu coba periksa dehhh takut ada apaapabtw kalo,0
rinsxl,aku kemaren vaksin kedua sinovac hari kamis terus besoknya jumat sore mens,0
bewara_jabar,cianjur pemerintah sudah menginformasikan terkait vaksin sinovac yang di datangkan langs,0
dinkespati,hingga rabu oktober capaian vaksinasi di pati mencapai sementara untuk bisa mencapai ppkm level dip,0
nihayarina,info jadwal dan lokasi terbaru vaksin jember madiun malang tuban oktober sinovac dan astrazeneca,0
kalibawangkp_,kalurahan wani vaksin dosis akan hadir kembali di kapanewon kalibawang bagi yang sebelumnya menerima vaksin sino,0
galiharlanosa,tolong info vaksin sinovac dosis kedua untuk besok dong,0
capcaey,aku baru kmrn banget divaksin sinovac dan aku lupa kapan terkahir mens 8,0
PiaPinah_MH,antara sinovac dan pfizer sya rasa vaksin pfizer lagi kuat berbanding sinovac pfizer,0
Sek_Cly,untuk pendaftaran vaksin sinovac hari sabtu oktober di klinik polresta bandung jl bhayangkara soreang s,0
PiaPinah_MH,bagi mereka yg ada allergy teruk masa amik vaksin dos pertama kes akan di siasat jik,0
pngfess,lur info vaksin dosis ke2 sinovac hari selasa oktober,0
DMunjungan,antusiasme warga masyarakat sangat tinggi hal tersebut dibuktikan dosis vaksin sinovac habis bahkan mendapatk,0
dinharris,nasib baik ambik sinovac,0
jembermfs,jbrfess info lokasi vaksin dosis sinovac area sumbersari dong terimakasih,0
RainaVerina,sama sinovac jugaa kok jd aku belum vaksin juga ampe sekarang heuu,0
DMunjungan,dalam rangka mensukseskan program vaksin yang dicanangkan oleh pemerintah pusat dengan ini dpd nasdem trenggalek me,0
kissfmjember,penerima vaksin sinovac dan sinopharm bisa berangkat umrah dengan syarat,0
PolresTasikKota,gerai vaksin presisipolres tasikmalaya kotadilaksanakan pada hari tanggal sabtu oktober pukul,0
anissriww,min mau nanya apakah bisa vaksin dosis sinovac di stasiun,0
darkmode94,aku sinovac keamren nafsu makan jadi nambah drastis,0
gyulinggyull,aku jga teh walaupun engga sinovac mens lgi gak lancar,0
Purpleecityxx,aku sinovac teh dan mens pun lancar gk telat gk maju tanggalnya,0
andresippp,ak kmrn sinovac sen malemny si badan agak anget sma ngk nyenyak tidurnya malah nga ngerasain pegel d bagian suntikny,0
ANSI_421,untuk jangka waktu antara vaksin dosis ke dosis harus dipatuhi dan lama jangka waktunya tergan,0
kungkongg,sorry jbjb memang ada bbrapa negara yg ngga nerima sinovac ka tapi ada juga yg nrima trgantung negara m,0
yeyoosh,tergantung jenis vaksin kalo sinovac kebanyakan gak ada efek paling pegel bentar dilengan yg disuntik,0
bukhoriam,moderna memang mantap ya kipi nya dulu sinovac kali sama sekali tidak terasa apa apa setelah vaksin,0
_robbyruben,sinovac besok ada mulai jam biasanya jam sudah habis,0
junkyuubom_,baru sadar aku juga abis vaksin sinovac tgl september sampe skrg blm mens,0
juliantojulis,gk blh hrs sinovac jg,0
mrswoobling,sedih amat yg vaksin sinovac masih ngga bisa masuk eu gimana dooonggg,0
anirun_,sinovac jugaa kemarin telat hari aja gatau nih bulan depan gimana hahaha,0
Jhnyuchn,min infoo vaksij sinovac daerah bekasii dongg,0
R_Perkasa,yang mau vaksin pertama pfizer dan vaksin kedua sinovac besok di phinisi point bisa klik link di bawah ini,0
feelsoweird,aku baru sekitar minggu lalu vaksin dosis sinovac ini telat mens hari,0
watcudoinghuh,maaf teh di aku malah lancar awalnya telat mulu tanggalnya semenjak abis vaksin sinovac juga kebe,0
alfyrhaa,ya efektivitas nya ktnya emg lebi rendah tp kan maksudnya itu ud approved by who ya knp sinovac banyak ga diakuin si,0
penasedu,coba ke dinkes nder kemaren stock sinovac lumayan banyak disana,0
Kodim0815Mjk,danramil 10 bangsal diwakili bati tuud pelda siswanto mendampingi bupati mojokerto dr hj ikhfina fahmawati,0
blackforestkeik,bentar ini maksudnya gimana ya ko aku kurang mudeng nakesnya salah apanya but yg terpenting selagi j,0
strwxbrri,emang sepertinya sama kemarin habis nganter nenek juga buat vaksin dosis padahal hari itu jadwalnya,0
sukaseokjin,ahhhh sekarang udh jarang ya yg sinovac,0
jinourmoon_7,nyari vaksin dosis sinovac dmn yaa,0
JK_noona,entah efeknya apa bukan tapi bulan lalu aku juga telat mens semingguan habis vaksin padahal bulan bulan sebelumnya,0
sakuraaaberyy,gak dong sinovac doang aahh insyaallah kecil,0
zetzetzetoy,aku sinovac bulan mei akhir teh baru mens bulan juli awal,0
rllynotm3,kalo aku sinovac tapi ga sampe ga mens cuma telat banget trus darah haidnya cuma bercak bercak gitu,0
ajengay7,alhamdulillah haid ku masih lancar teh kmrn habis vaksin sinovac cuma demam aja teh,0
inoselling,aku baru aja kmrn tgl vaksin kedua sinovac harusnya awal bulan ini udh mens sih cuma ampe sekarang belum t,0
dyahtantri,aku vaksin sinovac dan telat bgt mensnya,0
GoNewsdotco,sinovac tak diakui para wni ke luar negeri untuk vaksin lagi,0
dearcyeonjun,aku dpr sinovac kmrnn,0
ahanuuum,aku abis vaksin sinovac malah mens nya kali dlm bulan nderrrr,0
auliaahsan_,aku vaksin sinovac terakhir juni dan sampe skrg ga mens,0
HumasPasirjambu,untuk pendaftaran vaksin sinovac hari sabtu oktober di klinik polresta bandung jl bhayangkara soreang s,0
mdoktav,minn infoo vaksin sinovac dosis pertama adaa ndak nggih,0
wartakotalive,jadwal vaksinasi covid tangerang sabtu oktober di kecamatan pakai sinovac dan pfizer,0
wilanpangestu,aku juga ga mens habis vaksin sinovac,0
arisromanisti1,sama dong udah x vaksin sinovac gak mens sampai krg,0
MariaSimorang15,min kalo ada info vaksin sinovac terbaru boleh dong min dishare,0
plumyavocatto,aku vaksin sinovac juga pas dosis kedua pulang lgsg mens mana lumayan deres,0
GoNewsdotco,sinovac tak diakui para wni ke luar negeri untuk vaksin lagi,0
hadifianwidjaja,kalau pfizer dan moderna zat aktifnya ya mrna kalau sinovac zat aktifnya yah in a,0
cullezra,iyaa soalnya aku vaksinnya lumayan awal jd masih sinovac pakenya,0
SektorPlayen2,jum at 15 10 pelaksanaan vaksinasi dosis i dan ii oleh urkes polres gunungkidul di balai kalurahan banaran kapane,0
ttyongiiboo,aku udah kali vaksin sinovac pas lagi mens sih teh,0
NATSSJN,ak cuma pegel doang btw ak sinovac,0
RJinoona,iya emg multiple dose single dose waktu itu cuma sinovac pas awal2 aja skrg ada yg ada yg udah ga single lg,0
ingeesoesanto,aku bkn vaksin sinovac sih aku vaksin az yg kedua terus telat haid sebulan stgh amp ternyata di sekit,0
YooRi_L,aku kira cuma aku yg jadwal mensnya telat banget setelah vaksin sinovac ternyata di reply teh fidy,0
AlyaKartini,aku jg sama blm dpt lg dr setelah vaksin sinovac yg dosis udh jalan hampir bulanan ini benera,0
ppiwpew,mjb sinovac ga sakit kok waktu dosis itu cuma pegel aja lengannya waktu dosis aku ga ada efek ka,0
afiikoo,ihhhh yaallah sama banget teh aku jugaaaa abis vaksin sinovac ga mens,0
yourhoobae__,ini iya juga yaa aku juga dah bulan lebih antara abis vaksin sinovac jatohnya bulan lebih atau abis kena co,0
puduuhyuck,gue udah vaksin sinovac engga sakit samsek beneran,0
infomalang,kalo sinovac dan astra zeneca bisa tapiiiisuliiiit dapetnyaadanya cuma di polkesma atau rs umm kal,0
bilaes0k,lah sama gua juga dr vaksin sinovac pertama ga mens2,0
peach2620,aku sebulan gak haid habis vaksin sinovac,0
tiwayrx,aku vaksin kolaborasi astra sinovac mens kok coba periksa ajaa ke dokter teh,0
tiwaytrackyoo,akuu aku abis vaksin sinovac dosis bukan ga mens tapi telat mens lumayan lama,0
mwv_mystic,aku gitu mba abis divaksin sinovac ga mens,0
xrdfagh,seminggu lalu abis vaksin sinovac kmren mens kok teh,0
redkiwiy,sinovac soalnya angkatan juli agustuskalo angkatan sekarang banyak yg dapet pfizer moderna,0
grumpimpim,aku vaksin ke 2 sinovac atau agustus kemaren terus biasanya mens sebelum tanggal 3 tuh jadi,0
bunnyxnyn,aku rencana katanya vaksin dua vaksin sinovac,0
ANKKOSANNNNN,aku vaksin sinovac gada efek apa apa teh kyak hari hari biasa nya aja gtu,0
Defodioo,aku abis vaksin sinovac gaada masalah apapun terkait mens teh tapi temenku ada dia jadi telat mens gitu,0
ptriavia,aaku teh abis vaksin sinovac telat kurleb harian,0
AurelNovelia,bahan baku atau bold yang berasal dari produsen yaitu sinovac biofarma sinovam astrazeneca moderna pzier dan,0
moeslim_choice,masyarakat tidak perlu pilih pilih merek vaksin covid 19selengkapnya di,0
zzzjjul,eh iya teh bulan kemarin abis vaksin sinovac tahap terus sampe sekarang belum mens udah telat m,0
ppyoontj,aku dari sebelum mens emg ngga teratur sih teh jadi ga berani menyimpulkan krn sinovac juga,0
_jun_hoe,loh iya gw blm mesn udh mau bulan kemaren pake vaksin sinovac,0
jsuhmanis,aku habis vaksin kedua sinovac tgl september kemaren sampai sekarang belom mens juga,0
baby__loey,aku sinovac dan tetep lancar teh haidnya tapi waktu itu pernah ditanyain pas mau vaksin ke haid l,0
real______nn,aku dulu abis vaksin kedua sinovac langsung mens sih masih lancar sampai skrg,0
live_anymore,kemarin itu aku telat sampe harian hbs vaksin sinovac eh besoknya lsg mens wkwkwk,0
sagibitchs,kalo terpaut jauh waktu antar dua vaksinasi bisa diitung vaksin ulangan jd nanti yg dianggap vaksin,0
jiisygkoo,aku kemaren abis vaksin sinovac absen mens sebulan kak,0
hmadaarthur,aku sinovac aman cuma waktu itu untuk pertama kalinya lagi setelah sekian lama pas mens tumben ga d,0
93kagemusha,akuu malah mens kali dalam sebulan teh abis vaksin sinovac baik dosis pertama dan kedua jd aku,0
echanmwin,aku baru semingguan yang lalu vaksin sinovac teh gatau juga belum masuk tanggal haid jadi gatau nta,0
shyyytan,aku sinovac dan dapet terus kok tp telat gitu beberapa hari,0
imyoursje,aku vaksin sinovac tp mens nya normal normal aja teh,0
karantinajambi,kami bekerjasama dengan karantina kesehatan pelabuhan kkp dalam program pemberian vaksin ini jenis vaksin yang,0
Amaateeraasuu_,setelah dipikir pikir habis vaksin sinovac siklusku jadi siklus panjang teh tapi beberapa bulan ke,0
ilobematchaa,aku abis vaksin sebulan ga halangan sih teh dan pake sinovac pas itu juga dosis,0
renysekuntari,jadwal vaksin kota bogor oktober di mall btm bogor jenis sinovac dosis,0
Lantari7,komando distrik militer sleman bekerjasama dengan dinkes ka sleman uty aparat terkait kembali melaksanakan se,0
idtodayco,sinovac tak diakui para wni ke luar negeri untuk vaksin lagi,0
OctopussyMiss,yang ini ketinggalan dok biar jelas kalo datanya cuma dari vaksin aja tanpa az apalag,0
BetaEpsilonPhi,karena1 mayoritas divaksin sinovac pns yang lansia gt 60 tahun adalah peneliti jabfung utama,0
